playerID,yearID,teamID,inseason,games,rank
watkibi01,1893,SLN,1,135,10
orourji01,1893,WAS,1,130,12
hanlone01,1894,BLN,1,129,1
foutzda01,1894,BRO,1,135,5
seleefr99,1894,BSN,1,133,3
ansonca01,1894,CHN,1,137,8
comisch01,1894,CIN,1,134,10
tebeapa01,1894,CL4,1,130,6
barnibi01,1894,LS3,1,131,12
wardjo01,1894,NY1,1,139,2
irwinar01,1894,PHI,1,132,4
buckeal99,1894,PIT,1,110,7
mackco01,1894,PIT,2,23,7
milledo01,1894,SLN,1,133,9
schmegu99,1894,WAS,1,132,11
hanlone01,1895,BLN,1,132,1
foutzda01,1895,BRO,1,134,5
seleefr99,1895,BSN,1,133,6
ansonca01,1895,CHN,1,133,4
ewingbu01,1895,CIN,1,132,8
tebeapa01,1895,CL4,1,132,2
mcclojo99,1895,LS3,1,133,12
davisge01,1895,NY1,1,33,9
doyleja01,1895,NY1,2,64,9
watkiha99,1895,NY1,3,35,9
irwinar01,1895,PHI,1,133,3
mackco01,1895,PIT,1,135,7
buckeal99,1895,SLN,1,50,11
vondech99,1895,SLN,2,1,11
quinnjo02,1895,SLN,3,40,11
phelale99,1895,SLN,4,45,11
schmegu99,1895,WAS,1,133,10
hanlone01,1896,BLN,1,132,1
foutzda01,1896,BRO,1,133,10
seleefr99,1896,BSN,1,132,4
ansonca01,1896,CHN,1,132,5
ewingbu01,1896,CIN,1,128,3
tebeapa01,1896,CL4,1,135,2
mcclojo99,1896,LS3,1,19,12
mcgunbi01,1896,LS3,2,115,12
irwinar01,1896,NY1,1,90,7
joycebi01,1896,NY1,2,43,7
nashbi01,1896,PHI,1,130,8
mackco01,1896,PIT,1,131,6
diddlha99,1896,SLN,1,17,11
lathaar01,1896,SLN,2,3,11
vondech99,1896,SLN,3,2,11
connoro01,1896,SLN,4,46,11
dowdto01,1896,SLN,5,63,11
schmegu99,1896,WAS,1,133,9
hanlone01,1897,BLN,1,136,2
barnibi01,1897,BRO,1,136,7
seleefr99,1897,BSN,1,135,1
ansonca01,1897,CHN,1,138,9
ewingbu01,1897,CIN,1,134,4
tebeapa01,1897,CL4,1,132,5
rogerji01,1897,LS3,1,44,11
clarkfr01,1897,LS3,2,92,11
joycebi01,1897,NY1,1,138,3
stallge01,1897,PHI,1,134,10
donovpa01,1897,PIT,1,135,8
dowdto01,1897,SLN,1,29,12
nicolhu01,1897,SLN,2,40,12
hallmbi01,1897,SLN,3,50,12
vondech99,1897,SLN,4,14,12
schmegu99,1897,WAS,1,36,6
brownto01,1897,WAS,2,99,6
hanlone01,1898,BLN,1,154,2
barnibi01,1898,BRO,1,35,10
griffmi01,1898,BRO,2,4,10
ebbetch99,1898,BRO,3,110,10
seleefr99,1898,BSN,1,152,1
burnsto01,1898,CHN,1,152,4
ewingbu01,1898,CIN,1,157,3
tebeapa01,1898,CL4,1,156,5
clarkfr01,1898,LS3,1,154,9
joycebi01,1898,NY1,1,43,7
ansonca01,1898,NY1,2,22,7
joycebi01,1898,NY1,3,92,7
stallge01,1898,PHI,1,46,6
shettbi99,1898,PHI,2,104,6
watkibi01,1898,PIT,1,151,8
hurstti99,1898,SLN,1,154,12
brownto01,1898,WAS,1,38,11
doyleja01,1898,WAS,2,17,11
mcguide01,1898,WAS,3,70,11
irwinar01,1898,WAS,4,30,11
mcgrajo01,1899,BLN,1,152,4
hanlone01,1899,BRO,1,150,1
seleefr99,1899,BSN,1,153,2
burnsto01,1899,CHN,1,152,8
ewingbu01,1899,CIN,1,157,6
crossla01,1899,CL4,1,38,12
quinnjo02,1899,CL4,2,116,12
clarkfr01,1899,LS3,1,156,9
dayjo99,1899,NY1,1,66,10
hoeyfr99,1899,NY1,2,87,10
shettbi99,1899,PHI,1,154,3
watkibi01,1899,PIT,1,24,7
donovpa01,1899,PIT,2,131,7
tebeapa01,1899,SLN,1,155,5
irwinar01,1899,WAS,1,155,11
hanlone01,1900,BRO,1,142,1
seleefr99,1900,BSN,1,142,4
loftuto01,1900,CHN,1,146,6
allenbo01,1900,CIN,1,144,7
ewingbu01,1900,NY1,1,63,8
davisge01,1900,NY1,2,78,8
shettbi99,1900,PHI,1,141,3
clarkfr01,1900,PIT,1,140,2
tebeapa01,1900,SLN,1,92,5
heilblo99,1900,SLN,2,50,5
mcgrajo01,1901,BLA,1,135,5
colliji01,1901,BOS,1,138,2
griffcl01,1901,CHA,1,137,1
mcaleji01,1901,CLE,1,138,7
stallge01,1901,DET,1,136,3
duffyhu01,1901,MLA,1,139,8
mackco01,1901,PHA,1,137,4
manniji01,1901,WS1,1,138,6
hanlone01,1901,BRO,1,137,3
seleefr99,1901,BSN,1,140,5
loftuto01,1901,CHN,1,140,6
mcphebi01,1901,CIN,1,142,8
davisge01,1901,NY1,1,141,7
shettbi99,1901,PHI,1,140,2
clarkfr01,1901,PIT,1,140,1
donovpa01,1901,SLN,1,142,4
mcgrajo01,1902,BLA,1,58,8
robinwi01,1902,BLA,2,83,8
colliji01,1902,BOS,1,138,3
griffcl01,1902,CHA,1,138,4
armoubi99,1902,CLE,1,137,5
dwyerfr01,1902,DET,1,137,7
mackco01,1902,PHA,1,137,1
mcaleji01,1902,SLA,1,140,2
